id,category,priority,release_scope,requirement,scope,source
NFR-049,시간 감쇠 재계산 주기,Must,MVP,시간 감쇠 정책을 반영하기 위해 월 1회 이상 전체 사용자 스킬 점수를 재계산해야 한다.,#6 분석 결과 화면 · #22 나의 데이터 요약 확인,fun-spec #6 #22 · 0305 추가 요구
NFR-050,스킬 상태 갱신 원자성,Must,MVP,월 재계산 완료 시 사용자별 learning_states 데이터는 부분 갱신 없이 원자적으로 교체되어야 한다.,#6 분석 결과 화면 · #22 나의 데이터 요약 확인,fun-spec #6 #22 · table LearningState 갱신 정책
NFR-053,캘린더 연결선 무결성,Must,MVP,"연결선은 존재하는 일정 노드 사이에서만 생성되어야 하며, 노드 삭제 시 dangling edge가 남지 않아야 한다.",#12 캘린더 뷰 · #13 일정 상세 확인,origin/develop MainPage.vue · useCalendarStore.js · calendarApi.js
NFR-052,캘린더 노드 CRUD 정합성,Must,MVP,캘린더 일정 노드의 생성/수정/삭제 결과는 월간/주간/상세 모달 뷰에 즉시 일관되게 반영되어야 한다.,#12 캘린더 뷰 · #13 일정 상세 확인,origin/develop MainPage.vue · NodeFormModal.vue · calendarApi.js
NFR-051,가중치/감쇠 정책 변경 추적,Must,MVP,활동 유형별 가중치와 시간 감쇠 정책이 변경될 경우 정책 버전과 적용 시점을 추적할 수 있어야 한다.,#6 분석 결과 화면 · #17 성취도 반영 · #22 나의 데이터 요약 확인,0305 추가 요구 · table 스킬 레벨 산정 모델
NFR-054,학습 트랙 관리 일관성,Must,MVP,"사용자 트랙의 이름/색상/순서는 저장 후 재조회 시 동일하게 복원되어야 하며, 시스템 형광펜 트랙은 수정/삭제 대상이 되면 안 된다.",#12 캘린더 뷰,origin/develop BranchManageModal.vue · calendarApi.js
NFR-055,일정 편집 입력 검증,Must,MVP,"일정 추가/수정 시 제목은 필수이며, 날짜/트랙/연결 대상은 유효 범위 검증을 거쳐야 한다.",#12 캘린더 뷰 · #13 일정 상세 확인,origin/develop NodeFormModal.vue
NFR-056,회원가입 계정 정보 표시,Must,MVP,회원가입 화면의 이름과 이메일은 Google 인증 결과와 일치하는 읽기 전용 값으로 표시되어야 한다.,#2 로그인 · signup 화면,origin/develop SignUpPage.vue
NFR-057,외부 연동 필수성,Must,MVP,"회원가입 화면에서는 GitHub와 Velog 연동을 모두 필수로 완료해야 하며, 두 연동이 완료되기 전까지 다음 단계 진행을 허용하면 안 된다.",#3 외부 계정 연동 · signup 화면,origin/develop SignUpPage.vue
NFR-060,프롬프트 대화 지속성,Must,MVP,"캘린더 프롬프트 뷰의 대화 내역은 일정 노드별로 분리되어 유지되어야 하며, 다시 선택했을 때 동일한 메시지 목록을 복원할 수 있어야 한다.",#12 캘린더 뷰 · #14 추천 근거,origin/develop MainPage.vue
NFR-059,캘린더 불러오기 가시성,Must,MVP,학습 캘린더의 불러오기 버튼은 Google Calendar 불러오기 기능임을 사용자가 즉시 인지할 수 있도록 Google 아이콘과 명확한 시각적 표현을 제공해야 한다.,#15 외부 캘린더 연동,origin/develop StudyCalendarPage.vue
,,,,,,
