api_id,domain,feature_ref,api_name,description,http_method,endpoint_path,framework,consumer_type,is_crud,is_integration_api,auth_required,primary_entity,request_summary,response_summary,priority,status,notes
API-028,히스토리,#21 NFR-045,히스토리 제외/복구 처리,user_activity.is_excluded 값을 토글하여 추천 맥락 제외/복구를 처리한다.,,,springboot,frontend,Y,N,Y,UserActivity,"activity id, toggle action",업데이트된 exclusion state,Must,draft,soft delete only
API-029,성장 일지,#22,성장 요약 조회,learning state와 활동 요약을 기반으로 성장 지표를 조회한다.,,,springboot,frontend,Y,N,Y,LearningState,"period, scope","growth summary, chart data",Must,draft,스파이더 차트/요약 카드 대응
API-035,온보딩/프로필,#4 #23,페르소나 템플릿 목록 조회,온보딩 드롭다운에 노출할 기본 페르소나 템플릿 목록과 기본 선택값을 조회한다.,,,springboot,frontend,Y,N,Y,UserPersona,없음,"template 목록, 기본값, 표시 순서",Must,draft,SetupPage 드롭다운 데이터 소스
API-036,활동/히스토리,#10 #11 #20,활동 완료 기록,"퀴즈 외 활동 완료, 레퍼런스 열람 완료, 커리큘럼 단계 완료를 user_activity에 기록한다.",,,springboot,frontend,N,N,Y,UserActivity,"activity type, source, summary, tech stack, 완료 시각",기록 결과 및 후속 추천/캘린더 반영 후보 상태,Must,draft,#10 활동 진행과 #11 완료 후 이력 반영을 담당
API-037,커리큘럼/캘린더,#11 #19,커리큘럼 파일 업로드 분석/등록 요청,업로드된 커리큘럼 파일을 분석해 일정 후보를 만들고 캘린더 등록까지 실행한다.,,,springboot,frontend,N,N,Y,Curriculum,"파일 본문 또는 multipart 파일, 등록 옵션",업로드 job 정보 또는 등록된 curriculum 요약,Must,draft,RecommendPage의 파일 업로드 기반 캘린더 등록 플로우 반영
API-038,분석,#5,분석 진행 스트림 구독,"분석 진행률, 단계, 완료 이벤트를 SSE 또는 유사 스트림으로 구독한다.",,,springboot,frontend,N,N,Y,AnalysisJob,analysis job id,"progress event stream, 단계 전환, 완료 이벤트",Must,draft,fun-spec #5의 SSE/Webhook 요구 반영. API-010은 폴링 보조로 유지
API-039,추천,#8,추천 생성 진행/완료 스트림 구독,추천 세션 생성 중간 상태와 완료 신호를 스트림으로 구독한다.,,,springboot,frontend,N,N,Y,Recommendation,recommendation session id,"generation progress event, 완료 이벤트, 실패 이벤트",Must,draft,#8의 백엔드 완료 신호 반영
API-040,프로필,#23,프로필 조회,마이페이지 진입 시 필요한 사용자 프로필과 설정값을 조회한다.,,,springboot,frontend,Y,N,Y,UserProfile,없음,"nickname, tech stacks, persona template, 정보 범위, 표시용 요약",Must,draft,MVP 프로필 조회 (custom persona 제외)
API-041,프로필,#23,프로필 수정,"닉네임, 기술 스택, 정보 범위, 기본 페르소나 템플릿 등 프로필 설정을 수정한다.",,,springboot,frontend,Y,N,Y,UserProfile,"profile patch payload (nickname, tech stacks, persona template, 정보 범위 등)",updated profile,Must,draft,MVP 프로필 수정 (custom persona 제외)
API-042,외부 계정 관리,#24 #30,외부 계정 목록 조회,마이페이지에서 표시할 외부 계정 상세 연결 상태 목록을 조회한다.,,,springboot,frontend,Y,N,Y,ExternalAccountConnection,없음,"provider별 username, 상태, 해제 가능 여부, 표시용 통계",Must,draft,"현재 UI는 GitHub 중심, 구조는 GitHub/Velog"
API-043,외부 계정 관리,#24,외부 계정 연결 해제,특정 외부 계정 연결을 해제하고 후속 기능 제한 상태를 갱신한다.,,,springboot,frontend,Y,N,Y,ExternalAccountConnection,provider,해제 결과 및 갱신된 연결 상태,Must,draft,현재 UI는 GitHub 연결 해제 버튼 대응
API-044,커리큘럼/캘린더,#12 #15,캘린더 범위 조회,월간/주간/프롬프트 캘린더 렌더링에 필요한 일정 노드와 메타데이터를 범위 기준으로 조회한다.,,,springboot,frontend,Y,N,Y,CurriculumNode,"date range, view type, hidden track filter","schedule node list, track 메타데이터, 캘린더 표시 정보",Must,draft,MainPage month/week/prompt view 공용 조회
API-045,커리큘럼/캘린더,#13 #14,일정 상세 조회,"특정 날짜 또는 일정 노드의 상세 정보, 연결 관계, 프롬프트 진입용 컨텍스트를 조회한다.",,,springboot,frontend,Y,N,Y,CurriculumNode,date 또는 node id,"day detail, node detail, reason snapshot 링크 정보, prompt thread summary",Must,draft,Day detail 및 prompt 진입 데이터 포함
API-046,캘린더 연동,#15,외부 일정 불러오기 실행,Google Calendar에서 학습 일정을 가져오는 import 작업을 실행한다.,,,springboot,frontend,N,N,Y,CalendarSyncJob,"provider, sync window, import options","sync job status, imported count, warning summary",Must,draft,MVP source는 Google Calendar only
API-047,캘린더 연동,#15,내부 일정 반영 실행,내부 학습 일정을 Google Calendar로 반영하는 동기화 작업을 실행한다.,,,springboot,frontend,N,N,Y,CalendarSyncJob,"provider, curriculum scope, export options","sync job status, exported count, mapping summary",Must,draft,Google Calendar push only
API-048,캘린더 편집,#12 #13,캘린더 노드 목록 조회,그래프 편집 화면에서 사용할 일정 노드 목록을 조회한다.,,,springboot,frontend,Y,N,Y,CurriculumNode,month 범위 또는 curriculum id,"node 목록, tooltip 메타데이터, track id",Must,draft,origin/develop vue-fe/src/api/calendarApi.js 의 nodeApi.getAll 반영
API-049,캘린더 편집,#12 #13,캘린더 노드 생성,일정 추가 모달 입력으로 새 일정 노드를 생성한다.,,,springboot,frontend,Y,N,Y,CurriculumNode,"day, track, title, label, tags, parent/child ids",created node payload,Must,draft,NodeFormModal 저장(create) 대응
API-050,캘린더 편집,#12 #13,캘린더 노드 수정,"일정 노드의 제목, 날짜, 트랙, 태그, 연결 메타데이터를 수정한다.",,,springboot,frontend,Y,N,Y,CurriculumNode,"node id, patch payload",updated node payload,Must,draft,NodeFormModal 저장(edit) 대응
API-051,캘린더 편집,#12 #13,캘린더 노드 삭제,일정 노드를 삭제하고 필요한 경우 연결선 재배치를 수행한다.,,,springboot,frontend,Y,N,Y,CurriculumNode,node id,삭제 결과 및 재배치된 연결 요약,Must,draft,DayDetailModal 삭제 및 store.deleteSchedule 흐름 반영
API-052,캘린더 편집,#12 #13,캘린더 연결선 목록 조회,일정 노드 간 연결선 목록을 조회한다.,,,springboot,frontend,Y,N,Y,CurriculumNodeRelation,month 범위 또는 curriculum id,edge 목록,Must,draft,origin/develop vue-fe/src/api/calendarApi.js 의 edgeApi.getAll 반영
API-053,캘린더 편집,#12 #13,캘린더 연결선 생성,두 일정 노드 사이의 선후행 연결을 생성한다.,,,springboot,frontend,Y,N,Y,CurriculumNodeRelation,"from node id, to node id",created edge payload,Must,draft,edgeApi.create 대응
API-054,캘린더 편집,#12 #13,캘린더 연결선 삭제,일정 노드 사이의 연결선을 제거한다.,,,springboot,frontend,Y,N,Y,CurriculumNodeRelation,edge id,삭제 결과,Must,draft,edgeApi.delete 대응
API-055,캘린더 편집,#12,학습 트랙 목록 조회,캘린더에서 사용할 사용자 트랙과 시스템 트랙 목록을 조회한다.,,,springboot,frontend,Y,N,Y,LearningTrack,없음,"track 목록, 순서, color, 시스템 여부",Must,draft,origin/develop vue-fe/src/api/calendarApi.js 의 branchApi.getAll 반영
API-056,캘린더 편집,#12,학습 트랙 생성,사용자 학습 트랙을 생성한다.,,,springboot,frontend,Y,N,Y,LearningTrack,"track name, color, display order",created track payload,Must,draft,BranchManageModal 새 트랙 추가 대응
API-057,캘린더 편집,#12,학습 트랙 수정,"학습 트랙 이름, 색상, 순서를 수정한다.",,,springboot,frontend,Y,N,Y,LearningTrack,"track id, name/color/order patch",updated track payload,Must,draft,BranchManageModal 색상/이름/순서 수정 대응
API-058,캘린더 편집,#12,학습 트랙 삭제,사용자 학습 트랙을 삭제하고 관련 일정 정리 정책을 적용한다.,,,springboot,frontend,Y,N,Y,LearningTrack,track id,삭제 결과 및 영향 일정 요약,Must,draft,BranchManageModal 삭제 경고/삭제 동작 대응
API-060,인증/사용자,#2 #29,회원가입 완료 처리,"Google 계정 기반 회원가입 완료, 약관 동의, 초기 account stage 전환을 처리한다.",,,springboot,frontend,N,N,Y,User,"agreement flags, optional linked provider snapshot","updated account stage, next route",Must,draft,SignUpPage 회원가입 완료 버튼 대응
API-061,프롬프트 어시스턴트,#12 #14,프롬프트 대화 조회,캘린더 프롬프트 뷰에서 선택한 일정 노드의 대화 이력을 조회한다.,,,springboot,frontend,Y,N,Y,PromptConversation,schedule node id,"thread metadata, ordered messages",Must,draft,MVP prompt view 초기 로딩
API-062,프롬프트 어시스턴트,#12 #14,프롬프트 메시지 전송,선택한 일정 노드의 프롬프트 스레드에 사용자 메시지를 추가하고 AI 응답을 반환한다.,,,springboot,frontend,N,N,Y,PromptMessage,"schedule node id, user message","assistant reply, updated message list",Must,draft,MainPage sendPrompt 대응
API-101,AI 분석,#5 #6,분석 파이프라인 실행,Spring Boot가 FastAPI에 분석 파이프라인 실행을 위임한다.,,,fastapi,internal_service,N,Y,Y,AnalysisJob,"activity snapshot, survey snapshot",analysis result payload,Must,draft,서비스 간 연동 API
API-102,AI 추천,#8 #19,추천 생성 파이프라인 실행,LearningState와 UserActivity를 기반으로 추천을 생성한다.,,,fastapi,internal_service,N,Y,Y,Recommendation,recommendation context,recommendation payload,Must,draft,서비스 간 연동 API
API-103,AI 레퍼런스,#9-2 #16,레퍼런스 검색/검증 파이프라인 실행,"RAG 검색, URL 검증, 최신성 판단, 요약 생성을 수행한다.",,,fastapi,internal_service,N,Y,Y,ReferenceRecommendation,query context,reference list 및 validation summary,Must,draft,서비스 간 연동 API
API-104,AI 퀴즈,#9-1 #17 #18,퀴즈 생성/채점 파이프라인 실행,퀴즈 생성과 채점을 FastAPI에서 수행한다.,,,fastapi,internal_service,N,Y,Y,Quiz,quiz context 또는 answer sheet,quiz set 또는 scoring result,Must,draft,서비스 간 연동 API
API-105,AI 캘린더,#15,외부 일정 분류/요약 파이프라인 실행,"캘린더 일정 텍스트에서 category, summary, tech_stacks를 추출한다.",,,fastapi,internal_service,N,Y,Y,UserActivity,calendar raw events,structured activity payload,Must,draft,서비스 간 연동 API
API-108,배치,#6 NFR-049 NFR-051,Learning State 재계산 실행,월 단위 스킬 점수 재계산과 정책 버전 기록을 수행한다.,,,springboot,batch,N,N,N,LearningStateRecomputeJob,"policy version, target scope",recompute result summary,Must,draft,스케줄러 또는 관리자 트리거. 정책 버전과 실행 결과를 기록
API-109,배치/추천,#31 NFR-017,미응답 상태 평가 배치,미응답 퀴즈와 미수행 추천 항목을 주기적으로 평가해 리마인드 또는 추천 강도 완화를 적용한다.,,,springboot,batch,N,N,N,RecommendationItem,"평가 기준 시각, 미응답 임계값, 대상 범위","평가 대상 수, 감산/리마인드 적용 결과",Must,draft,#31 미응답 처리의 스케줄러 실행 단위
API-110,배치/외부 계정,#24 #25,외부 계정 토큰 갱신 실행,만료 예정 외부 계정 연결의 refresh token을 사용해 access token을 갱신한다.,,,springboot,batch,N,Y,N,ExternalAccountConnection,"provider, 대상 계정 범위","갱신 성공/실패 수, 만료 상태 갱신 결과",Must,draft,OAuth refresh token 운영 로직 명시
API-111,AI 커리큘럼,#11 #19,커리큘럼 문서 분석 파이프라인 실행,"업로드된 커리큘럼 문서에서 일정 후보, 주제, 기간 정보를 추출한다.",,,fastapi,internal_service,N,Y,Y,Curriculum,"file bytes 또는 추출 텍스트, 사용자 컨텍스트",structured curriculum payload,Must,draft,RecommendPage 업로드 플로우를 위한 Spring Boot -> FastAPI 내부 연동
API-112,AI 프롬프트,#12 #14,프롬프트 어시스턴트 응답 생성,선택한 일정 컨텍스트와 기존 대화 이력을 바탕으로 프롬프트 어시스턴트 응답을 생성한다.,,,fastapi,internal_service,N,Y,Y,PromptConversation,"schedule context, prior messages, user message",assistant reply payload,Must,draft,서비스 간 연동 API
